ASC_074A.Earth.Latitude   ASC_074A.Earth.Longitude   ASC_074A.UTCGregorian      ASC_074A.Earth.Altitude   ASC_074B.Earth.Latitude   ASC_074B.Earth.Longitude   ASC_074B.Earth.Altitude   ASC_074B.UTCGregorian      ASC_074C.Earth.Latitude   ASC_074C.Earth.Longitude   ASC_074C.Earth.Altitude   ASC_074C.UTCGregorian      
-28.54049186123769        -138.6452919401875         03 Jul 2026 12:31:04.077   538.6535051494966         -28.61940356012534        -18.69092994026465         538.2500254223523         03 Jul 2026 12:31:04.077   -28.779160408328          101.3947409224204          538.9253825488286         03 Jul 2026 12:31:04.077   
-24.41283264941263        -134.3047812124871         03 Jul 2026 12:32:37.921   537.9787763165214         -24.50659350495392        -14.32990184292584         537.5371594523895         03 Jul 2026 12:32:37.921   -24.6495127233855         105.7420342093328          538.2299051671826         03 Jul 2026 12:32:37.921   
-20.14547322813604        -130.2675600740106         03 Jul 2026 12:34:11.747   537.3510443748501         -20.2524585441781         -10.27371496636027         536.8732240036697         03 Jul 2026 12:34:11.747   -20.37883713014359        109.7822157995933          537.5770855341962         03 Jul 2026 12:34:11.747   
-15.77158990802958        -126.4677598725476         03 Jul 2026 12:35:45.554   536.8070878846711         -15.89040774684745        -6.456580768358378         536.295441892963          03 Jul 2026 12:35:45.554   -16.00051354735515        113.5817302205542          537.0041054484518         03 Jul 2026 12:35:45.554   
-11.31951060649587        -122.8456980010548         03 Jul 2026 12:37:19.345   536.3784826057299         -11.44897139084422        -2.818814075466775         535.8358104140789         03 Jul 2026 12:37:19.345   -11.54299453961357        117.2007057145663          536.5429639151535         03 Jul 2026 12:37:19.345   
-6.814006605333206        -119.3468379354202         03 Jul 2026 12:38:53.123   536.0901599380613         -6.953091245787395        0.6941551502562801         535.5196483182208         03 Jul 2026 12:38:53.123   -7.03111423388662         120.6940025309852          536.2190436652509         03 Jul 2026 12:38:53.123   
-2.277481641367021        -115.9204645297495         03 Jul 2026 12:40:26.891   535.959278125486          -2.425310744260169        4.133073004492564          535.3644598800574         03 Jul 2026 12:40:26.891   -2.487289651480398        124.1125528564013          536.0499914474858         03 Jul 2026 12:40:26.891   
2.26915074710619          -112.5180936239115         03 Jul 2026 12:42:00.653   535.9944428023609         2.113345701101621         7.546429901239365          535.3791514885625         03 Jul 2026 12:42:00.653   2.067594466589425         127.5049672110012          536.0449436054341         03 Jul 2026 12:42:00.653   
6.80533010187161          -109.0921009932649         03 Jul 2026 12:43:34.415   536.1953205468808         6.642235000660563         10.9818140856459           535.5636469050896         03 Jul 2026 12:43:34.415   6.613044237580908         130.918921371922           536.2041424869658         03 Jul 2026 12:43:34.415   
11.31011134702663         -105.5940649065024         03 Jul 2026 12:45:08.180   536.5526430953132         11.14035799617107         14.48755444775972          535.9088943493234         03 Jul 2026 12:45:08.180   11.12821825071626         134.4028287529287          536.5189337113725         03 Jul 2026 12:45:08.180   
15.7611777205823          -101.9732823376039         03 Jul 2026 12:46:41.953   537.0486153952725         15.58537541191712         18.11418867035423          536.3972805793401         03 Jul 2026 12:46:41.953   15.59094173643071         138.0073413884177          536.9721621124581         03 Jul 2026 12:46:41.953   
20.13386621764808         -98.17524691963943         03 Jul 2026 12:48:15.738   537.6577072563005         19.95263916790493         21.91596833302358          537.0034288372117         03 Jul 2026 12:48:15.738   19.97673487047251         141.7868946361247          537.5389442441856         03 Jul 2026 12:48:15.738   
24.40000619933295         -94.14029081875988         03 Jul 2026 12:49:49.538   538.3477884482572         24.21404075620172         25.95219901036117          537.6953396290783         03 Jul 2026 12:49:49.538   24.25765425612883         145.8010998795867          538.1877805927979         03 Jul 2026 12:49:49.538   
28.52654392512214         -89.80261107445223         03 Jul 2026 12:51:23.357   539.0815519724538         28.33665017431193         30.28819837497526          538.4358174266999         03 Jul 2026 12:51:23.357   28.40091795921765         150.1157738827139          538.8819548520632         03 Jul 2026 12:51:23.357   
32.47405431975872         -85.09001658966288         03 Jul 2026 12:52:57.196   539.8181842140993         32.2812469626562          34.99554490821595          539.1841410381212         03 Jul 2026 12:52:57.196   32.36741164371069         154.8032804883865          539.5811809861889         03 Jul 2026 12:52:57.196   
36.19491980773191         -79.92553913231328         03 Jul 2026 12:54:31.052   540.5151615600771         36.00052224879605         40.15049230997158          539.8978558156205         03 Jul 2026 12:54:31.052   36.10984715252518         159.9410569828087          540.2433833586201         03 Jul 2026 12:54:31.052   
39.63202508456556         -74.23144897840936         03 Jul 2026 12:56:04.923   541.1302137109387         39.43779543057347         45.83003986047274          540.5347296862492         03 Jul 2026 12:56:04.923   39.57141444266097         165.6077878198291          540.8266466307359         03 Jul 2026 12:56:04.923   
42.71770380294782         -67.93829328660753         03 Jul 2026 12:57:38.807   541.6232263900965         42.52597030403692         52.10308628517455          541.0546441634833         03 Jul 2026 12:57:38.807   42.68464553774704         171.8745923817173          541.2911167905195         03 Jul 2026 12:57:38.807   
45.37444360195606         -60.99976377296884         03 Jul 2026 12:59:12.705   541.9581016504435         45.18821470502493         59.01589832140932          541.4214421716215         03 Jul 2026 12:59:12.705   45.37199032802491         178.7903313326894          541.6008658242199         03 Jul 2026 12:59:12.705   
47.51796054007008         -53.41487651725475         03 Jul 2026 13:00:46.612   542.1043917509605         47.34094327437799         66.5703929862272           541.6045441696624         03 Jul 2026 13:00:46.612   47.54871941302066         -173.640633620811          541.7255410989646         03 Jul 2026 13:00:46.612   
49.06468873848974         -45.25200357018625         03 Jul 2026 13:02:20.521   542.0387854690216         48.90112692012541         74.70051284869639          541.5804179118186         03 Jul 2026 13:02:20.521   49.13026172265459         -165.4830316089555         541.6418690980036         03 Jul 2026 13:02:20.521   
49.94355530921749         -36.66380867737318         03 Jul 2026 13:03:54.425   541.7462953642616         49.79782676598006         83.25727319490734          541.3337540170096         03 Jul 2026 13:03:54.425   50.04396050754136         -156.886785572504          541.3348612062082         03 Jul 2026 13:03:54.425   
50.10937152229808         -27.87976032833639         03 Jul 2026 13:05:28.322   541.2210630757299         49.9853900938652          92.01547591384592          540.8582614772749         03 Jul 2026 13:05:28.322   50.24268648174953         -148.0809029138892         540.7986381121782         03 Jul 2026 13:05:28.322   
49.5531097592815          -19.16926754035068         03 Jul 2026 13:07:02.205   540.4668081793197         49.45372411837484         100.7091981751063          540.1571101009495         03 Jul 2026 13:07:02.205   49.71556398246964         -139.3372876729086         540.0368937334215         03 Jul 2026 13:07:02.205   
